post_id,post_slug,unix_time,date_time,post_caption,hashtags,topic_tags,is_video,is_ad,post_likes,geo_tag,geo_slug,owner_id,owner_verified,owner_privacy,owner_unpublished,owner_total_posts,owner_total_followers
1006641971264095607,34T4oZMgV3,1434221095,2015-06-13 18:44:55,"Oh look! Natural heart shaped form of Ivan Heng and Glen Goei at #PinkDotSg . Always in the best outfits every year #WhereLovesLiveSg 
#RediscoveringSingapore #ExploringSingapore #RediscoverSG #ExploreSG #InterestingSingapore #FunInSingapore
#Sg #Singapore #Sg50
#igsg #igsingapore #Sgig 
#sgmemory #yoursingapore  #pink #PinkDotSg #WhereLovesLiveSg","['#PinkDotSg', '#WhereLovesLiveSg', '#RediscoveringSingapore', '#ExploringSingapore', '#RediscoverSG', '#ExploreSG', '#InterestingSingapore', '#FunInSingapore', '#Sg', '#Singapore', '#Sg50', '#igsg', '#igsingapore', '#Sgig', '#sgmemory', '#yoursingapore', '#pink', '#PinkDotSg', '#WhereLovesLiveSg']",['2 people.'],False,False,40,Pinkdot @ Hong Lim Park,pinkdot-hong-lim-park,196778200,False,False,False,5205,1232
1202880298563729182,BCxfUInNPce,1457614527,2016-03-10 12:55:27,".
.
.
.
.
.
#exploresingapore #instasg #gf_singapore #gameoftones #igsg #sgig #vscosg #sgmemory #archivingsg #rediscoversg #sgheritage #urbexphotography #urbexrebels #urbexworld #urbanexplorer #urbex #urbanexploration #abandoned #chasinglight #latergram #yangtzecinema #ruinraider","['#exploresingapore', '#instasg', '#gf_singapore', '#gameoftones', '#igsg', '#sgig', '#vscosg', '#sgmemory', '#archivingsg', '#rediscoversg', '#sgheritage', '#urbexphotography', '#urbexrebels', '#urbexworld', '#urbanexplorer', '#urbex', '#urbanexploration', '#abandoned', '#chasinglight', '#latergram', '#yangtzecinema', '#ruinraider']",['indoor.'],False,False,33,Yangtze Cinema,yangtze-cinema,33123388,False,False,False,742,995
677102977071319026,lljZH4sgfy,1394936986,2014-03-16 02:29:46,"On the road to hell..... Reliving Haw Par Villa (15, 16, 22 & 23 March
#rediscoversg Tourism50
Reminisce #Singapore","['#rediscoversg', '#Singapore']",['Photo by Belinda Tan in 虎豹别墅.'],False,False,3,虎豹别墅,,196778200,False,False,False,5205,1232
64371291,D1jpb,1304474309,2011-05-04 01:58:29,Coffeeshop talk....,[],"['Photo by pixbykm on May 03', '2011.']",False,False,29,,,1091975,False,False,False,1586,652
1053674471374849669,6fZ1lfMgaF,1439827806,2015-08-17 16:10:06,"I finally picked up my @esplanadesingapore #Esplanade&Me card! If you're an #arts lover and watch loads of shows at the #Esplanade , then go sign up for their latest #Black or #White arts lover membership card. It gives you benefits like discounts to selected shows and programmes, discounts at F&B outlets, priority booking, invite only events and opportunities to peek behind the scene. Details on their website.

#performance #performingarts #performingartscenter #privileges
#RediscoveringSingapore #ExploringSingapore #RediscoverSG #ExploreSG #InterestingSingapore #FunInSingapore
#Sg #Singapore #Sg50
#igsg #igsingapore #Sgig 
#sgmemory #yoursingapore","['#Esplanade', '#arts', '#Esplanade', '#Black', '#White', '#performance', '#performingarts', '#performingartscenter', '#privileges', '#RediscoveringSingapore', '#ExploringSingapore', '#RediscoverSG', '#ExploreSG', '#InterestingSingapore', '#FunInSingapore', '#Sg', '#Singapore', '#Sg50', '#igsg', '#igsingapore', '#Sgig', '#sgmemory', '#yoursingapore']",['Photo by Belinda Tan in Esplanade – Theatres on the Bay.'],False,False,17,Esplanade – Theatres on the Bay,esplanade-theatres-on-the-bay,196778200,False,False,False,5205,1232
1014576799166891404,4UgDkvsgWM,1435167001,2015-06-24 17:30:01,"Seriously a great place to catch up with a friend I hadn't seen in ages - spending what was a very hot afternoon on the #sunny beaches and cool waters of #Palawan #Beach on #Sentosa @sentosa_island with glorious bursts of #sunrays the whole afternoon.

#ExploringSingapore #RediscoverSG #ExploreSG #InterestingSingapore #FunInSingapore
#Singapore #Sg50
#igsg #igsingapore #Sgig 
#sgmemory #yoursingapore 
#sky #skyporn #cloudporn  #fabskyshots #cloudslovers #cloudsky
#clouds_of_our_world #cloudsporn
 #ig_captures_sky #ig_captures  #ic_captures_cloudys
#cloudslovers #cloudsofinstagram","['#sunny', '#Palawan', '#Beach', '#Sentosa', '#sunrays', '#ExploringSingapore', '#RediscoverSG', '#ExploreSG', '#InterestingSingapore', '#FunInSingapore', '#Singapore', '#Sg50', '#igsg', '#igsingapore', '#Sgig', '#sgmemory', '#yoursingapore', '#sky', '#skyporn', '#cloudporn', '#fabskyshots', '#cloudslovers', '#cloudsky', '#clouds_of_our_world', '#cloudsporn', '#ig_captures_sky', '#ig_captures', '#ic_captures_cloudys', '#cloudslovers', '#cloudsofinstagram']",['1 person.'],False,False,33,Palawan Beach,palawan-beach,196778200,False,False,False,5205,1232
2406162771994753499,CFkaErwhDnb,1601056976,2020-09-25 18:02:56,"Do you know: Sembawang beach is one of the few remaining natural beaches in Singapore. Capture stunning sea views at the fishing jetty or catch anglers in action in the evenings/weekends! 

#sglgexperience #localguides #singaporerediscovers #singapoliday","['#sglgexperience', '#localguides', '#singaporerediscovers', '#singapoliday']",,False,False,10,Sembawang Park Fishing Jetty,sembawang-park-fishing-jetty,32045251153,False,False,False,54,48
682285013362112657,l39prRBXiR,1395554733,2014-03-23 06:05:33,"The Ten Courts of Hell are one of the main attractions of Haw Par Villa. Once a boat ride through a rather macabre tunnel, now you can stroll through the various courts, take your time and have a close-up look at the various gory ways you will be punished in Chinese hell for being a bad person. #hawparvilla #rediscoversg","['#hawparvilla', '#rediscoversg']",['Photo by Jaclynn Seah in 虎豹别墅.'],False,False,14,虎豹别墅,,19725349,False,False,False,2629,1550
1171418686317266053,BBBtxa5MgSF,1453864011,2016-01-27 03:06:51,"Thaipusam in Singapore : ""The most popular form of sacrifice is the carrying of the kavadi which means ""sacrifice at every step"". The symbolism of carrying the kavadi originates from a myth where the kavadi represents a mountain with Lord Subramaniam at its apex.""


#Thaipusam #festival #Hindu #Indian
#Kavadi #Singapore #Sg #sgpeople #facesofsg #peopleofsg #sgculture
#facesofsingapore #SG50 #sgmemory #sgheritage #yoursingapore #visitsingapore
#sgig #igsg #images #igsingapore #instagramsg #instasg #igerssingapore #mysingapore
#ExploringSingapore #ExploreSG  #RediscoveringSingapore  #RediscoverSG #InterestingSingapore  
","['#Thaipusam', '#festival', '#Hindu', '#Indian', '#Kavadi', '#Singapore', '#Sg', '#sgpeople', '#facesofsg', '#peopleofsg', '#sgculture', '#facesofsingapore', '#SG50', '#sgmemory', '#sgheritage', '#yoursingapore', '#visitsingapore', '#sgig', '#igsg', '#images', '#igsingapore', '#instagramsg', '#instasg', '#igerssingapore', '#mysingapore', '#ExploringSingapore', '#ExploreSG', '#RediscoveringSingapore', '#RediscoverSG', '#InterestingSingapore']",['1 person.'],False,False,23,Sri Thendayuthapani Temple,sri-thendayuthapani-temple,196778200,False,False,False,5205,1232
1031995130488423465,5SYhp6sgQp,1437243428,2015-07-18 18:17:08,"#Fireworks never fails to get me excited. Tonight's #NDP2015 NE Rehearsal show display was awesome. This one looks very Peranakan in colour and style.

#NDP2015PHOTOS
 #National Day #NationalDayRehearsals #GoldenJubilee #NDPfireworks #MarinaBay
#NDP2015Contests #NDPcontests
#fireworkshow #fireworksdisplay

#jj #jj_forum #jj_notforsquares
#RediscoveringSingapore #ExploringSingapore #RediscoverSG #ExploreSG #InterestingSingapore #FunInSingapore
#Sg #Singapore #Sg50
#igsg #igsingapore #Sgig 
#sgmemory #yoursingapore #sgheritage","['#Fireworks', '#NDP2015', '#NDP2015PHOTOS', '#National', '#NationalDayRehearsals', '#GoldenJubilee', '#NDPfireworks', '#MarinaBay', '#NDP2015Contests', '#NDPcontests', '#fireworkshow', '#fireworksdisplay', '#jj', '#jj_forum', '#jj_notforsquares', '#RediscoveringSingapore', '#ExploringSingapore', '#RediscoverSG', '#ExploreSG', '#InterestingSingapore', '#FunInSingapore', '#Sg', '#Singapore', '#Sg50', '#igsg', '#igsingapore', '#Sgig', '#sgmemory', '#yoursingapore', '#sgheritage']",['Photo by Belinda Tan in Marina Bay Waterfront Promenade.'],False,False,57,Marina Bay Waterfront Promenade,marina-bay-waterfront-promenade,196778200,False,False,False,5205,1232
