post_id,post_slug,unix_time,date_time,post_caption,hashtags,topic_tags,is_video,is_ad,post_likes,geo_tag,geo_slug,owner_id,owner_verified,owner_privacy,owner_unpublished,owner_total_posts,owner_total_followers
2424782171636408654,CGmjom-FqFO,1603276581,2020-10-21 10:36:21,"#BalloInSingapore Day 7
There are few hours in life more agreeable than the hour dedicated to the ceremony known as afternoon tea.
Emily had Mindy and Ballo has- Pinky Pinky Sharma who suggested we go for high tea similar to Duchess of Bedford  Anna (year 1840) who made the tradition of sipping tea and nibbling sandwiches in middle of afternoon fashionable .
But we are crazy (not so rich) Asians , we will enjoy the British tradition in Singapore . 
It was so much fun to meet women with pink hats all together to raise awareness about breast cancer by meeting and donating at high tea event .
When was the last time you went for high tea asks Ballo.
#blahblahballo #SingapoRediscovers #singapore #singaporetour #emilyenparis #Netflix #hightea","['#BalloInSingapore', '#blahblahballo', '#SingapoRediscovers', '#singapore', '#singaporetour', '#emilyenparis', '#Netflix', '#hightea']",,False,False,41,"Shangri-La Hotel, Singapore",shangri-la-hotel-singapore,8653740580,False,False,False,270,451
2414614396863935902,CGCbwAynnWe,1602064488,2020-10-07 09:54:48,"📍 𝓕𝓵𝓸𝔀𝓮𝓻 𝓓𝓸𝓶𝓮

Enter the world of flowers😍 
Flower dome show cases exotic plants from 5 continents! It is a visual and olfactory treat! 

Arya loves plants. She enjoyed the colourful flowers and started saying the colours😁If you are going with kids, don’t forget to take a jacket! It’s very cool inside!
.
.
.
.

@visit_singapore #visitsingapore #singaporediscovers #visitsingapore #sgmummy #sgmumbloggers #travelblogger #myfusionworld #sgig #igsg #singaporeplaces #flowerdome #flowerdomesingapore #gardensbythebay #gbb #flowers #exoticplants #singapore #flowerssg #flowerstagram #beautifulflowers","['#visitsingapore', '#singaporediscovers', '#visitsingapore', '#sgmummy', '#sgmumbloggers', '#travelblogger', '#myfusionworld', '#sgig', '#igsg', '#singaporeplaces', '#flowerdome', '#flowerdomesingapore', '#gardensbythebay', '#gbb', '#flowers', '#exoticplants', '#singapore', '#flowerssg', '#flowerstagram', '#beautifulflowers']",,False,False,97,Flower Dome,flower-dome,205966311,False,False,False,190,923
2417355232257243375,CGMK8aqn_jv,1602391221,2020-10-11 04:40:21,小确幸,[],,False,False,34,ARTpreciation Arts Café,artpreciation-arts-cafe,794460094,False,False,False,2290,1121
2395160432974685034,CE9UblDhuNq,1599745395,2020-09-10 13:43:15,"🇸🇬 ANNIVERSARIES 🇸🇬
𝗪𝗵𝗮𝘁 𝗶𝘀 𝘆𝗼𝘂𝗿 𝗳𝗮𝘃𝗼𝘂𝗿𝗶𝘁𝗲 𝗰𝗲𝗹𝗲𝗯𝗿𝗮𝘁𝗶𝗼𝗻? 𝗕𝗶𝗿𝘁𝗵𝗱𝗮𝘆𝘀? 𝗡𝗲𝘄 𝘆𝗲𝗮𝗿? 𝗟𝗲𝘁 𝘂𝘀 𝗸𝗻𝗼𝘄!
Who said anniversaries are yearly? We make it a monthly celebration 🍾🎊 Instead of bubbles, we had sparkling juice as we are still on our #75hardchallenge 💪🏽 We are now 1/3 in, day 25, there has been up and downs with our energy, but we are loving it! 
-
📸 Nikon Z7 + 16-50mm f/3.5-6.3 VR
🇸🇬 More photos of 📍Singapore #AdventureFaktoryInSingapore
🗺 Travel & Expat guides ➡ @AdventureFaktory [dot] com","['#75hardchallenge', '#AdventureFaktoryInSingapore']","['people sitting', 'indoor.']",False,False,1343,The Fullerton Bay Hotel Singapore,the-fullerton-bay-hotel-singapore,1392961405,False,False,False,937,44103
2395059029049365585,CE89X9SlFRR,1599733307,2020-09-10 10:21:47,"Henderson Waves is Singapore’s highest pedestrian bridge, standing at 36 metres above ground. Be awed by the amazing blanket of greenery below you, as it is part of the Southern Ridges, one of the best trails in Singapore.
.
.
#hendersonwaves #henderson #bridge #singapore #singapore🇸🇬 #visitsingapore #singaporediscovers #passionmadepossible #southernridges #nofilter #offbeatsingapore","['#hendersonwaves', '#henderson', '#bridge', '#singapore', '#singapore', '#visitsingapore', '#singaporediscovers', '#passionmadepossible', '#southernridges', '#nofilter', '#offbeatsingapore']","['cloud', 'sky', 'outdoor.']",False,False,5,Henderson Waves,henderson-waves,28944993467,False,False,False,124,21
2421602081891821980,CGbQkNmgimc,1602897485,2020-10-17 01:18:05,"Church of Saint Alphonsus.

#visitsingapore #SingapoRediscovers #PassionMadePossible #singapore #church #NGTUK #natgeo #natgeotravel #churchofsaintalphonsus","['#visitsingapore', '#SingapoRediscovers', '#PassionMadePossible', '#singapore', '#church', '#NGTUK', '#natgeo', '#natgeotravel', '#churchofsaintalphonsus']","['sky', 'plant', 'tree', 'outdoor.']",False,False,3,,,1929616630,False,False,False,1422,152
2402951310671206954,CFY_3xVHdoq,1600674444,2020-09-21 07:47:24,"Revisited Punggol Waterway to Coney Island on bike couple of weeks back. Was a nice, chill way to spend a morning on a weekday, with only a couple of old uncles hanging out amongst the Casuarina groves on Coney Island. Varied terrain from well-paved paths to unpaved dirt. Avoided the beach areas because the last time I was there, the sandflies were vicious! Sad that I dropped the cam which now has scratched lens (hence what looks like a permanent water droplet in middle of video 😩) Best were the yummy chicken wings at WingZone Punggol end of the ride. Happy week ahead! #lagoonig #cyclingsingapore #singaporediscovers #punggol #coneyisland #insta360go #mysingapore #sgig #igsg","['#lagoonig', '#cyclingsingapore', '#singaporediscovers', '#punggol', '#coneyisland', '#insta360go', '#mysingapore', '#sgig', '#igsg']",,True,False,173,"Coney Island, Singapore",coney-island-singapore,1160487,False,False,False,1195,3109
2413220654600826932,CF9e2ZKHjA0,1601898341,2020-10-05 11:45:41,"Participants at work in today’s workshop on Storytelling Using Smartphone Photography conducted for a small corporate team.

Safe distancing is always adhered to with small group of no more than 5 including myself. Mask on all the time.

Thank you for everyone’s cooperation and participation !

#singaporephotographyworkshops
#singaporephototours 
#smartphonephotographyworkshop
#singaporephotographyworkshop
#iphonephotographyworkshop
#shotoniphone 
#applesg
#iphone11
#singaporecity 
#lowlightphotography 
#phototour
#exploresingapore
#discoversingapore
#singaporediscovers 
#singapoliday 
#singapore 
#learningphotography 
#singaporephotography 
#expatsg
#travelphotography 
#things2doinsingapore 
#thisissingapore 
#photographerinaction
#iphonexsmax 
#amateurphotography 
#professionalphotography
#picoftheday","['#singaporephotographyworkshops', '#singaporephototours', '#smartphonephotographyworkshop', '#singaporephotographyworkshop', '#iphonephotographyworkshop', '#shotoniphone', '#applesg', '#iphone11', '#singaporecity', '#lowlightphotography', '#phototour', '#exploresingapore', '#discoversingapore', '#singaporediscovers', '#singapoliday', '#singapore', '#learningphotography', '#singaporephotography', '#expatsg', '#travelphotography', '#things2doinsingapore', '#thisissingapore', '#photographerinaction', '#iphonexsmax', '#amateurphotography', '#professionalphotography', '#picoftheday']","['one or more people', 'people st', 'ing.']",False,False,31,Singapore,singapore,10242033541,False,False,False,1056,331
2397783039839834324,CFGoviCHBDU,1600058034,2020-09-14 04:33:54,"Imagine this - free falling at 200km/h whilst being surrounded by the scenic Swiss Alps 🪂🇨🇭 Even if leisure travel is out of the question now, with Magicbox, you and your loved ones can experience the adrenaline pump of skydiving over at @iflysingapore! 

This September, give the gift of a good time to your loved ones and enjoy 15% off storewide with code 𝐓𝐇𝐈𝐒𝟏𝟓𝐇𝐎𝐌𝐄. All Magicboxes are valid for 12 months. T&Cs apply. #magicboxsg #magixers","['#magicboxsg', '#magixers']",,False,False,6,Singapore,singapore,8037755353,False,False,False,207,353
2397774795935024559,CFGm3kTF4Wv,1600057051,2020-09-14 04:17:31,"Shortly after we got into our room, there was a knock at the door and we were given a care kit consisting of items which are essentials during this period. I especially love that the card has been handwritten/drawn. Such a lovely and personalised gesture indeed. 🥰

#SGunited #staycation #staycationsg #singapoliday #touristsinsingapore #localtourism #singapoRediscovers","['#SGunited', '#staycation', '#staycationsg', '#singapoliday', '#touristsinsingapore', '#localtourism', '#singapoRediscovers']",,False,False,34,Fairmont Singapore,fairmont-singapore,2369463371,False,False,False,1193,2421
