response_to,user,timestamp,comment,likes,replies_attracted,channel
HALLOWEEN HORROR NIGHTS 8 AT UNIVERSAL STUDIOS! 👻,thattham,1 year ago,"I was a scare actor in killuminati, we hope u liked it!! :))",4,CLAIM NOW!,GC
McDoanlds Hokkaido Salmon Burger In Singapore!,Whyywinter.,2 years ago,Hey friends! 👋🏻 What’s your thoughts on Mcdonalds Hakkaido Salmon Burger? Give this video a BIG THUMBS UP if you want to see me try Mcspicy next! 🍔🍟👍🏼,35,View 10 replies,GC
McDoanlds Hokkaido Salmon Burger In Singapore!,CT,2 years ago,Is it even possible to dislike seaweed shaker fries? They should totally put it permanently on the menu,51,,GC
McDoanlds Hokkaido Salmon Burger In Singapore!,Kenneth Tay,2 years ago,I tried this the first day it was released but I still prefer the fillet-o-fish. Shaker fries is amazing though!,20,View 4 replies,GC
McDoanlds Hokkaido Salmon Burger In Singapore!,Thomas Lee,2 years ago,YAAAAS SHAKES FURIOUSLY,18,,GC
McDoanlds Hokkaido Salmon Burger In Singapore!,Syasya Hamzah,2 years ago,That burger is a no from me. Team McSpicy where you at??? 🖐️,48,View reply from Georgia Caney,GC
McDoanlds Hokkaido Salmon Burger In Singapore!,Chris James,2 years ago,yesssss!!! pls do a vid w mcspicy :3,12,,GC
McDoanlds Hokkaido Salmon Burger In Singapore!,N Hrzh,2 years ago,"Top 5 ways for something to sell in Singapore...
1) make it Japanese.
Ok that's all I got 😀
It was ok, it's so deep fried it could literally be any and every fish in the sea 😂 ",5,View 6 replies,GC
McDoanlds Hokkaido Salmon Burger In Singapore!,Elite NotDangerous,2 years ago,Please do try the mcspicy girl!! You should that is the bomb I tell you 😫,5,,GC
McDoanlds Hokkaido Salmon Burger In Singapore!,iLovePizza,2 years ago,"If you really like to, go the full hog and try the Double McSpicy! It's pretty litty heaty",7,View reply from Georgia Caney,GC
McDoanlds Hokkaido Salmon Burger In Singapore!,Meifern Lee,2 years ago,I liked your old Chang Kee video so much! Please do a mcspicy video!,11,,GC
McDoanlds Hokkaido Salmon Burger In Singapore!,Ranger629,2 years ago,"Yeah, please try the mc spicy. Awesome burger. Would like you see your reaction .",1,View 2 replies from Georgia Caney and others,GC
McDoanlds Hokkaido Salmon Burger In Singapore!,carrotsan,2 years ago (edited),"Yes please, try the McSpicy. Yeap, the whole bag of seaweed powder goes into the fries for me. Do they have that in the UK too?",4,,GC
McDoanlds Hokkaido Salmon Burger In Singapore!,Melmeleats,2 years ago (edited),me tooo oMG SEAWEED FRIES IS just FREAKIN GOOD; mcspicy always gives me spicy poop BAHAH,4,View reply from Georgia Caney,GC
McDoanlds Hokkaido Salmon Burger In Singapore!,pigjedi,2 years ago,Mcspicy is great! 🔥 TRY IT!!,4,,GC
McDoanlds Hokkaido Salmon Burger In Singapore!,JaeJoongFan,2 years ago,"Go big or go home. Double McSpicy.

Had the double McSpicy every week for supper when I was in the army. Awesomeness.",4,View reply from Georgia Caney,GC
McDoanlds Hokkaido Salmon Burger In Singapore!,mdkin,2 years ago,Do try the mcspicy!!! You might just fall in love with it cuz it's so tender and tastyyyy,1,,GC
Foreigners Reacting To Singapore Social: The Most NON-SINGAPOREAN Reality Show,N,N,N,N,N,GC
Foreigners Reacting To Singapore Social: The Most NON-SINGAPOREAN Reality Show,o,o,o,o,o,GC
Foreigners Reacting To Singapore Social: The Most NON-SINGAPOREAN Reality Show, , , , , ,GC
Foreigners Reacting To Singapore Social: The Most NON-SINGAPOREAN Reality Show,c,c,c,c,c,GC
Foreigners Reacting To Singapore Social: The Most NON-SINGAPOREAN Reality Show,m,m,m,m,m,GC
Foreigners Reacting To Singapore Social: The Most NON-SINGAPOREAN Reality Show,e,e,e,e,e,GC
Foreigners Reacting To Singapore Social: The Most NON-SINGAPOREAN Reality Show,n,n,n,n,n,GC
Foreigners Reacting To Singapore Social: The Most NON-SINGAPOREAN Reality Show,t,t,t,t,t,GC
Foreigners Reacting To Singapore Social: The Most NON-SINGAPOREAN Reality Show,s,s,s,s,s,GC
Foreigners Reacting To Singapore Social: The Most NON-SINGAPOREAN Reality Show,a,a,a,a,a,GC
Foreigners Reacting To Singapore Social: The Most NON-SINGAPOREAN Reality Show,d,d,d,d,d,GC
Foreigners Reacting To Singapore Social: The Most NON-SINGAPOREAN Reality Show,.,.,.,.,.,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,Hamizah Aqilah,2 years ago (edited),I’m singaporean and i hate loud eaters. Just feel like slapping their face (btw it’s not a cultural thing to eat loudly. It’s just them having no table manners),157,View 9 replies,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,Balaganesha B.V,2 years ago,Eating loudly is not a Singapore culture. It is just a lack of basic ethics.,176,,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,Ranger629,2 years ago,"A brief description of why Singaporeans (who are singles) still live with their parents is because you can't buy a house until you're 35 and you can only rent. If you're single, why not save the money and live with your parents.",93,View 11 replies,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,Zafirah Zain,2 years ago,"I do want to move out , but houses are expensive here ...",41,,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,Brandon QingHui Er,2 years ago (edited),"The points that you brought up were really true! Regarding the old working till they die, it's definitely true. We have a saying here in Singapore, which goes something like: ""You can die but you cannot fall sick"". It refers to how we will not be compensated/taken care of when we fall sick/get injured because of the living expenses etc. Regarding the queuing system, it is due to the country being so small & overpopulated, resulting in most restaurant's and places being space-constrained. If we queued like the British did, the 'single formal line' would run all the way out of the restaurant! ",52,View 7 replies,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,Isabel Rosé,2 years ago (edited),"Pretty sure most single adult wants to live alone, but with the house prices and average salary, it is really impossible to live alone Singapore is so small, imagine all the singles living alone, it is clearly impossible.
Plus rent costs alot and it is such a waste of money since Singapore is increasing the water and electricity bills, and with everything else increasing ever year but our salary does not increase. ",23,,GC
