video_title,video_caption,date_time,video_slug,video_views,video_likes,video_dislikes,video_comments
【これが現実】エリート駐在員にストレスを吐き出してもらった結果…【シンガポール】,"['▼基本一人旅さん\n', 'https://twitter.com/crazy_traveler1', '\n\n今回はシンガポールで駐在員として働く「基本一人旅」さんに駐在員の闇について迫りました。\n\n当然、働き方や待遇は会社によりけりですが、話を聞く限りめちゃくちゃ大変そう…。\n\n海外の駐在員は\n・いい家\n・健康保険\n・高い給料\n\nなどを会社が提供してくれますが、その引き換えに\n\n・いつ来るか分からない任期\n・会社に縛れる（圧倒的なコミットを強制される）ストレス\n\nこれらに苦しんでいる方が多いイメージです。\n\n一見、華やかな見える駐在員の生活ですが、今回お話聞いて「一概には言えないんだな」と感じましたね〜…。\n\nちなみに、現地採用のぼくは割とゆるくやらせてもらっています😇\n\n前回の動画：\n・シンガポール駐在員の自宅を大公開。家賃は？\n', 'https://www.youtube.com/watch?v=JJNW7...', '\n・シンガポール駐在員の給料について暴露\n', 'https://www.youtube.com/watch?v=p4DrC...', '\n\nシンガポールで就職する方法：\n', 'https://www.ghib-oji.com/singapore-jo...', '\n\n\n', '#シンガポール', '\u3000', '#現地採用', '\u3000', '#駐在員', '\u3000', '#生活', '\n━━━━━━━━━━━━\n✔️チャンネル登録！（subscribe)\n ', 'http://urx3.nu/HTUJ', '\n━━━━━━━━━━━━\n🌐SNS・ブログ\n・Instagram → ', 'https://www.instagram.com/ghibli_ojisan/', '\n・Twitter → ', 'https://twitter.com/ghibli_ojisan', '\n・Blog→ ', 'https://www.ghib-oji.com/', '\n━━━━━━━━━━━━\n🎸おすすめ動画3選！\n・台湾・九份で「いつも何度でも」を弾いてみた\n\u3000', 'https://youtu.be/WudKhqj_Na8', '\n・イタリアでトトロ弾いた結果…\n\u3000', 'https://youtu.be/3NptDf229nk', '\n・サマルカンドでザナルカンドを弾いてみた\n\u3000', 'https://youtu.be/_jhMSsAFKPQ', '\n━━━━━━━━━━━━\n😲自己紹介\n会社を辞め、ギターを持って旅に出たGhibli Ojisan（ジブリおじさん）です。11ヶ月で27カ国訪れ、世界各地でジブリのインストや叩き系ギターを弾いてきました。\n\n2018年8月にYouTube公式「急上昇クリエイター」として選出されたことをキッカケに、海外旅行やシンガポールについての動画もアップし始めました。\n\n世界旅行後は台湾1ヶ月プチ移住、ノルウェー3ヶ月生活（農業ボランティア）など経験し、2019年1月にシンガポールに拠点を移しました。\n\n音楽系・旅系の動画をアップしていますので、よろしければチャンネル登録と各種SNSのフォローお願いします！\n\n→チャンネル登録\u3000', 'http://urx3.nu/HTUJ', '\n\n━━━━━━━━━━━━\n▼お問い合わせ\nお仕事のご依頼・お問い合わせはコチラ→ ', 'https://ssl.form-mailer.jp/fms/dea63a...', '\n\n3〜5日以内に返信いたしますが、返信ない場合はTwitter/InstagramのDMにてお願いします']",7 Jun 2019,AsF1hDfyF9g,"26,426 views",347,36,77 Comments
【発表】路上演奏のライセンスを取りにオーディションに参加した結果,"['😃チャンネル登録： ', 'http://urx3.nu/HTUJ', '\n🎥関連動画「オーディションを受けてきた」：', 'https://www.youtube.com/watch?v=58rtK...', '\n\nシンガポールでは路上ライブを行うためにはライセンスが必要になります。以前、オーディションに参加してきたので、その結果報告です！\n\n結果は・・・合格しました！ほんと嬉しいです。\n\n「こういう企画やってほしい！」などあれば是非コメント欄で教えて下さい！\n路上演奏の生配信は行いたいなぁと思っていますが、皆さんからもアイディアいただきたいです！\n\n海外 食レポ専門チャンネル『Taberu Travel』\n▶', 'https://www.youtube.com/c/TaberuOjisan', '\n\nぼくの撮影機材\n▶', 'https://www.ghib-oji.com/my-equipment/', '\n\n\n', '#シンガポール', '\u3000', '#バスキング', '\n━━━━━━━━━━━━\n✔️チャンネル登録！（subscribe)\n ', 'http://urx3.nu/HTUJ', '\n━━━━━━━━━━━━\n🌐SNS・ブログ\n・Instagram → ', 'https://www.instagram.com/ghibli_ojisan/', '\n・Twitter → ', 'https://twitter.com/ghibli_ojisan', '\n・Blog→ ', 'https://www.ghib-oji.com/', '\n━━━━━━━━━━━━\n🎸おすすめ動画3選！\n・台湾・九份で「いつも何度でも」を弾いてみた\n\u3000', 'https://youtu.be/WudKhqj_Na8', '\n・イタリアでトトロ弾いた結果…\n\u3000', 'https://youtu.be/3NptDf229nk', '\n・サマルカンドでザナルカンドを弾いてみた\n\u3000', 'https://youtu.be/_jhMSsAFKPQ', '\n━━━━━━━━━━━━\n😲自己紹介\n会社を辞め、ギターを持って旅に出たGhibli Ojisan（ジブリおじさん）です。11ヶ月で27カ国訪れ、世界各地でジブリのインストや叩き系ギターを弾いてきました。\n\n2018年8月にYouTube公式「急上昇クリエイター」として選出されたことをキッカケに、海外旅行やシンガポールについての動画もアップし始めました。\n\n世界旅行後は台湾1ヶ月プチ移住、ノルウェー3ヶ月生活（農業ボランティア）など経験し、2019年1月にシンガポールに拠点を移しました。\n\n音楽系・旅系の動画をアップしていますので、よろしければチャンネル登録と各種SNSのフォローお願いします！\n\n→チャンネル登録\u3000', 'http://urx3.nu/HTUJ', '\n\n━━━━━━━━━━━━\n▼お問い合わせ\nお仕事のご依頼・お問い合わせはコチラ→ ', 'https://www.ghib-oji.com/contact/', '\n\n3〜5日以内に返信いたしますが、返信ない場合はTwitter/InstagramのDMにてお願いします']",31 Jul 2019,R4rwlGx0Kog,"10,547 views",405,6,102 Comments
【裏側公開】ビートルズのノルウェーの森を弾いてみた【メイキング動画】,"['以前、『ノルウェーの森でノルウェーの森を弾いてみた』という（詰まらないシャレみたいな）動画を作ったんですが、今回はそのメイキング映像です＾＾\n\n撮影地を見つけるまで、撮影地の様子などを公開しています！\n\n↓↓本編動画↓↓\n『ノルウェーの森』をノルウェーの森で弾いてみた→', 'https://youtu.be/0eNA4TpXV6k', '\n\n\nジブリ作品の聖地でもよく撮影しています。\n・台湾・九份で「いつも何度でも」を弾いてみた→', 'https://youtu.be/WudKhqj_Na8', '\n\n\n▼ Follow me!\nSubscribe（チャンネル登録） → ', 'http://urx3.nu/HTUJ', '\nInstagram → ', 'https://www.instagram.com/ghibli_ojisan/', '\nTwitter → ', 'https://twitter.com/ghibli_ojisan', '\n\n▼ Other Videos（おすすめ動画）\n-台湾・九份で「いつも何度でも」を弾いてみた（Spirited Away, Played at Taiwan）\n', 'https://youtu.be/WudKhqj_Na8', '\n- イタリアでトトロ弾いた結果…（Totoro Played at Italy）\n', 'https://youtu.be/3NptDf229nk', '\n-サマルカンドでザナルカンドを弾いてみた（Playing ""To Zanarkand (FFX)"" at Samarkand）\n', 'https://youtu.be/_jhMSsAFKPQ', '\n\n▼自己紹介\n会社を辞め、ギターを持って旅に出たじぶりおじさんです。11ヶ月で26カ国訪れることができ、世界各地でジブリのインストや叩き系ギターを弾いてきました。\nたまに音楽系・旅系の動画をアップしていますので、よろしければチャンネル登録と各種SNSのフォローよろしくお願いします。\n\n▼お問い合わせ・企業案件・ライブ出演のご依頼\n', 'https://ssl.form-mailer.jp/fms/dea63a...', '\n\n※外部リンクのお問い合わせフォームに飛びます。\n3〜5日以内に返信いたしますが、返信ない場合はTwitter/InstagramのDMにてお願いします']",12 Aug 2018,0oMslC1sGNU,"10,514 views",258,7,62 Comments
"LAP TAPPING Guitar at Taipei!　台北でひざ置きギター弾いてみた（Jack Dawson & Andy Mckee ""Drifting"" Cover）","['Busked at Taipei! Amazing support. Love the people here! \nThe songs I played were covers of Jack Dawson and Andy Mckee ""Drifting"" in lap-tap guitar style.\n\n台湾・台北の海沿いの街『淡水』で路上演奏（ストリートパフォーマンス）した際の動画です。ギターをひざに乗せて弾くスタイル！\n\n\n▼ Follow me!\nSubscribe（チャンネル登録） → ', 'http://urx3.nu/HTUJ', '\nInstagram → ', 'https://www.instagram.com/ghibli_ojisan/', '\nTwitter → ', 'https://twitter.com/ghibli_ojisan', '\n\n▼ Other Videos（おすすめ動画）\n-Busking at Gent, Belgium\u3000ベルギーで猫の恩返しを弾いてみた\n', 'https://youtu.be/5sNnwjgYWLE', '\n-Playing ""To Zanarkand (FFX)"" at Samarkand\u3000サマルカンドでザナルカンドを弾いてみた\n', 'https://youtu.be/_jhMSsAFKPQ']",13 Apr 2018,luIjUMWM6fc,"179,080 views","3,155",19,172 Comments
Singapore Semi-Lockdown Diary Day 0 | Japanese Living in SG,"[""This thing called the 'circuit breaker' is happening in Singapore. It's not actually a lockdown, but something similar. All non-essential shops will be closed and citizens are advised to stay home. It will last for about a month.\n\nI decided to film how it's like here in Singapore. \nWe do not need to panic but we should all take this seriously and try to stay home as much as possible. Let's all stay strong and keep positive. Huat AH!\n\n😃Subscribe： "", 'http://urx3.nu/HTUJ', '\n🎥Singapore TEKKA CENTRE Food Adventure!🌶️🇸🇬AMAZING Lamb Biriyani and Prata!!n：', 'https://www.youtube.com/watch?v=BQohP...', '\n\nFollow me on social medias!\n📸Instagram  ', 'https://www.instagram.com/ghibli_ojisan/', '\n🐦Twitter ', 'https://twitter.com/ghibli_ojisan', '\n\nBusiness Enquiries\n✉️ghib.ojisan@gmail.com\n\n', '#Singapore', ' ', '#lockdown', ' ', '#Withme', ' ', '#Stayhome']",7 Apr 2020,632WZ2a-GCw,"84,167 views","1,931",51,318 Comments
How Much Will I Earn If I Played Hikoukigumo on the Street of Singapore? WIND RISES,"['😃Subscribe： ', 'http://urx3.nu/HTUJ', '\n\nI played Hikoukigumo from the Ghibli Film ""Wind Rises (Kaze Tachinu)"" in Singapore. How much will I earn i I play this? Watch till the end :)\n\nI played with my valid busking license.\n\nBelow Japanese:\n今回は久しぶりの路上企画。風立ちぬの主題歌「ひこうき雲」を海外のシンガポールの路上で弾いてみたらお金いくら入るのでしょうか？\n\nシンガポールでの路上演奏のライセンスをGETしたので弾いてきました！場所はEast Coast Park（イースト・コースト・パーク）、海沿いの公園です。\n\nオチはいつもの感じですが、楽しんで頂けたらグッドボタンお願いします。チャンネル登録（', 'http://urx3.nu/HTUJ）もお待ちしています＾＾', '\n\n海外 食レポ専門チャンネル『Taberu Travel』\n▶', 'https://www.youtube.com/c/TaberuOjisan', '\n\nぼくの撮影機材\n▶', 'https://www.ghib-oji.com/my-equipment/', '\n\n', '#風立ちぬ', '\u3000', '#ひこうき雲', '\n━━━━━━━━━━━━\n✔️チャンネル登録！（subscribe)\n ', 'http://urx3.nu/HTUJ', '\n━━━━━━━━━━━━\n🌐SNS・ブログ\n・Instagram → ', 'https://www.instagram.com/ghibli_ojisan/', '\n・Twitter → ', 'https://twitter.com/ghibli_ojisan', '\n・Blog→ ', 'https://www.ghib-oji.com/', '\n━━━━━━━━━━━━\n🎸おすすめ動画3選！\n・台湾・九份で「いつも何度でも」を弾いてみた\n\u3000', 'https://youtu.be/WudKhqj_Na8', '\n・イタリアでトトロ弾いた結果…\n\u3000', 'https://youtu.be/3NptDf229nk', '\n・サマルカンドでザナルカンドを弾いてみた\n\u3000', 'https://youtu.be/_jhMSsAFKPQ', '\n━━━━━━━━━━━━\n😲自己紹介\n会社を辞め、ギターを持って旅に出たGhibli Ojisan（ジブリおじさん）です。11ヶ月で27カ国訪れ、世界各地でジブリのインストや叩き系ギターを弾いてきました。\n\n2018年8月にYouTube公式「急上昇クリエイター」として選出されたことをキッカケに、海外旅行やシンガポールについての動画もアップし始めました。\n\n世界旅行後は台湾1ヶ月プチ移住、ノルウェー3ヶ月生活（農業ボランティア）など経験し、2019年1月にシンガポールに拠点を移しました。\n\n音楽系・旅系の動画をアップしていますので、よろしければチャンネル登録と各種SNSのフォローお願いします！\n\n→チャンネル登録\u3000', 'http://urx3.nu/HTUJ', '\n\n━━━━━━━━━━━━\n▼お問い合わせ\nお仕事のご依頼・お問い合わせはコチラ→ ', 'https://www.ghib-oji.com/contact/', '\n\n3〜5日以内に返信いたしますが、返信ない場合はTwitter/InstagramのDMにてお願いします']",5 Aug 2019,PkVmO44f6p4,"26,635 views",550,11,92 Comments
【天国】シンガポールの会社のリアルな福利厚生 事情,"['▼シンガポールで就職する方法について書いたブログ記事\n', 'https://www.ghib-oji.com/singapore-jo...', '\n\n今回はぼくが働いているシンガポール企業の福利厚生についてお話しました！\n\n・有給休暇\n・病欠休暇\n・残業手当\n・パントリー\n・マッサージ\n\nなどなど、以前働いていた日本企業と異なることが多いですね。\nぜひ最後まで見てみてください〜！\n\n前回の動画：ぼくが貰ってる給料について\n', 'https://www.youtube.com/watch?v=eUmaU...', '\n\n\n━━━━━━━━━━━━\n✔️チャンネル登録！（subscribe)\n ', 'http://urx3.nu/HTUJ', '\n\nInstagram → ', 'https://www.instagram.com/ghibli_ojisan/', '\nTwitter → ', 'https://twitter.com/ghibli_ojisan', '\n\n━━━━━━━━━━━━\n🎸おすすめ動画\n・台湾・九份で「いつも何度でも」を弾いてみた\n\u3000', 'https://youtu.be/WudKhqj_Na8', '\n・イタリアでトトロ弾いた結果…\n\u3000', 'https://youtu.be/3NptDf229nk', '\n・サマルカンドでザナルカンドを弾いてみた\n\u3000', 'https://youtu.be/_jhMSsAFKPQ', '\n\n━━━━━━━━━━━━\n▼自己紹介\n会社を辞め、ギターを持って旅に出たジブリおじさんです。11ヶ月で26カ国訪れることができ、世界各地でジブリのインストや叩き系ギターを弾いてきました。\n音楽系・旅系の動画をアップしていますので、よろしければチャンネル登録と各種SNSのフォローよろしくお願いします。\n\n━━━━━━━━━━━━\n▼お問い合わせ\nお仕事のご依頼・お問い合わせはコチラ→ ', 'https://ssl.form-mailer.jp/fms/dea63a...', '\n\n3〜5日以内に返信いたしますが、返信ない場合はTwitter/InstagramのDMにてお願いします']",2 Feb 2019,1IAT_wjQ7mY,"27,017 views",465,27,105 Comments
Visiting The Last Surviving Village in Singapore | Kampong Lorong Buangkok🇸🇬,"[""Enable CC for English subtitles!\nSo today I visited Kampong Lorong Buangkok, the last remaining village in Singapore. I didn't know what to expect here, but I was amazed by what I saw.\nLady getting eggs from her chickens, 4 digit postal codes, unreliable locks on doors... I felt like I time traveled. Old Singapore was still there. I really enjoyed my time and I hope you do too. Personal must visit in Singapore!\n\nGoogle Map of Kampong Lorong Buangkok:\n"", 'https://goo.gl/maps/Pq5C6wgX8dwRNKbE9', '\n\nIf you liked this video, please leave a thumbs-up and subscribe. Thank you.\n\nBelow Japanese:\n近代国家のシンガポールに最後の村『Kampung Lorong Buangkok』があるのをご存知ですか？\n\n北東にぽつんと佇む、20〜30の家庭がある実在する村です。1956年に、沼地だったこの一帯を薬商人のスンさんが購入してから始まりました。\n\n😃チャンネル登録： ', 'http://urx3.nu/HTUJ', '\n\n・鶏を飼って卵を食べる家庭\n・頼りない南京錠で家に鍵をかけている家\n・4ケタの郵便番号（シンガポールは現在6ケタ）\n\n昔のシンガポールの暮らしが垣間見えた、いい経験になりました。所要時間は写真をたくさん撮っても30分〜1時間くらいかな。すごく小さな村ですが、貴重な体験ができると思います。おすすめです！\n\nシンガポール観光情報サイトオープン！\n▶', 'https://nekkyo-singapore.com/', '\n\nこの動画が少しでも面白かったらぜひグッドボタン＆チャンネル登録お願いします！隣のベルマークを押せば動画更新時に通知がいきます。みなさんからのコメントもすべて読んでいますのでお気軽に＾＾\n\n-----\nスポンサーさま\n★株式会社テイクシータ\u3000ルームランプLED専門店 \n', 'https://item.rakuten.co.jp/senmontent...', '\n★なかがわ野菊の里 ', 'https://www.youtube.com/user/nogikuno...', '\n★宮古島ジョージ ', 'https://www.youtube.com/channel/UCVp8...', '\n\n\n楽器スポンサーさま\n★YAMAHA Singapore FGX5 ', 'https://sg.yamaha.com/index.html', '\n\nスポンサーにご興味ある方は ', 'https://www.ghib-oji.com/contact/', ' よりご連絡ください。\n-----\n\nシンガポールの観光チケットが最大60％OFF\n▶', 'https://www.govoyagin.com/ja/things-t...', '\n\nジブリおじさんに仕事を依頼する\n▶', 'https://www.ghib-oji.com/service/', '\n\n究極の飯テロ！旅するグルメチャンネル『Taberu Travel』\n▶', 'https://www.youtube.com/c/TaberuOjisan', '\n\nジブリおじさんの撮影機材\n▶', 'https://www.ghib-oji.com/my-equipment/', '\n\n使用音楽\n▶', 'https://www.epidemicsound.com/referra...', '\n\n\n', '#シンガポール', '\u3000\n━━━━━━━━━━━━\n✔️チャンネル登録！（subscribe)\n ', 'http://urx3.nu/HTUJ', '\n━━━━━━━━━━━━\n🌐SNS・ブログ\n・Instagram → ', 'https://www.instagram.com/ghibli_ojisan/', '\n・Twitter → ', 'https://twitter.com/ghibli_ojisan', '\n・Blog→ ', 'https://www.ghib-oji.com/', '\n━━━━━━━━━━━━\n🎸おすすめ動画3選！\n・台湾・九份で「いつも何度でも」を弾いてみた\n\u3000', 'https://youtu.be/WudKhqj_Na8', '\n・イタリアでトトロ弾いた結果…\n\u3000', 'https://youtu.be/3NptDf229nk', '\n・サマルカンドでザナルカンドを弾いてみた\n\u3000', 'https://youtu.be/_jhMSsAFKPQ', '\n━━━━━━━━━━━━\n😲自己紹介\n会社を辞め、ギターを持って旅に出たGhibli Ojisan（ジブリおじさん）です。11ヶ月で27カ国訪れ、世界各地でジブリのインストや叩き系ギターを弾いてきました。\n\n2018年8月にYouTube公式「急上昇クリエイター」として選出されたことをキッカケに、海外旅行やシンガポールについての動画もアップし始めました。\n\n世界旅行後は台湾1ヶ月プチ移住、ノルウェー3ヶ月生活（農業ボランティア）など経験し、2019年1月にシンガポールに拠点を移しました。\n\n音楽系・旅系の動画をアップしていますので、よろしければチャンネル登録と各種SNSのフォローお願いします！\n\n→チャンネル登録\u3000', 'http://urx3.nu/HTUJ', '\n\n━━━━━━━━━━━━\n▼お問い合わせ\nお仕事のご依頼・お問い合わせはコチラ→ ', 'https://www.ghib-oji.com/contact/', '\n\n3〜5日以内に返信いたしますが、返信ない場合はTwitter/InstagramのDMにてお願いします']",20 Dec 2019,YXb5tJdIwZs,"59,869 views","1,501",23,249 Comments
外国人が連想する「日本」の本当のイメージとは？海外に20年住んだ僕が教える,"['今回は外国人が「日本」と聞くと連想するイメージについて、ぼくの体験談交えてお話しました。\n\nアメリカで育ったということもあり、「外の視点」から日本を見てたわけですが、やっぱり昔はテクノロジーとゲームがすごかったですね！\n\n特にポケモン。アメリカでも社会現象でした。\n\nでも最近の日本は、というと・・・ぜひ動画で見てください！\n\nP.S\n本動画の内容は偏見で溢れています。\n\nP.S.2\n動画ですごく大切なことを言い忘れたのですが、\n\n・自然災害の多さ\n・放射能\n\n海外の人はこの2つの印象も大きかったですね。\n\n\n━━━━━━━━━━━━\n✔️チャンネル登録！（subscribe)\n ', 'http://urx3.nu/HTUJ', '\n\nInstagram → ', 'https://www.instagram.com/ghibli_ojisan/', '\nTwitter → ', 'https://twitter.com/ghibli_ojisan', '\n\n━━━━━━━━━━━━\n🎸おすすめ動画\n・台湾・九份で「いつも何度でも」を弾いてみた\n\u3000', 'https://youtu.be/WudKhqj_Na8', '\n・イタリアでトトロ弾いた結果…\n\u3000', 'https://youtu.be/3NptDf229nk', '\n・サマルカンドでザナルカンドを弾いてみた\n\u3000', 'https://youtu.be/_jhMSsAFKPQ', '\n\n━━━━━━━━━━━━\n▼自己紹介\n会社を辞め、ギターを持って旅に出たジブリおじさんです。11ヶ月で26カ国訪れることができ、世界各地でジブリのインストや叩き系ギターを弾いてきました。\n音楽系・旅系の動画をアップしていますので、よろしければチャンネル登録と各種SNSのフォローよろしくお願いします。\n\n━━━━━━━━━━━━\n▼お問い合わせ\nお仕事のご依頼・お問い合わせはコチラ→ ', 'https://ssl.form-mailer.jp/fms/dea63a...', '\n\n3〜5日以内に返信いたしますが、返信ない場合はTwitter/InstagramのDMにてお願いします']",29 Dec 2018,N7JnMhrFjmk,"91,365 views","1,687",108,683 Comments
バンコクの大都会で路上ギターしたらチップいくら入る？【タイ】,"['少し昔の映像になりますが、パソコン漁ってたら出てきたので動画にしました。映像と音質のクオリティが悪くてすみません・・・！（スマホ推奨です）\n\nタイは路上の反応がよくありませんでしたが、この日は割と支援いたできました。支援額は動画の最後で触れていますので是非ご覧ください！\n\n曲は、Andy MckeeのDriftingです。\n\n\n\n▼ Follow me!\nSubscribe（チャンネル登録） → ', 'http://urx3.nu/HTUJ', '\nInstagram → ', 'https://www.instagram.com/ghibli_ojisan/', '\nTwitter → ', 'https://twitter.com/ghibli_ojisan', '\n\n▼ Other Videos（おすすめ動画）\n-台湾・九份で「いつも何度でも」を弾いてみた（Spirited Away, Played at Taiwan）\n', 'https://youtu.be/WudKhqj_Na8', '\n- イタリアでトトロ弾いた結果…（Totoro Played at Italy）\n', 'https://youtu.be/3NptDf229nk', '\n-サマルカンドでザナルカンドを弾いてみた（Playing ""To Zanarkand (FFX)"" at Samarkand）\n', 'https://youtu.be/_jhMSsAFKPQ', '\n\n▼自己紹介\n会社を辞め、ギターを持って旅に出たじぶりおじさんです。11ヶ月で26カ国訪れることができ、世界各地でジブリのインストや叩き系ギターを弾いてきました。\nたまに音楽系・旅系の動画をアップしていますので、よろしければチャンネル登録と各種SNSのフォローよろしくお願いします。\n\n▼お問い合わせ・企業案件・ライブ出演のご依頼\n', 'https://ssl.form-mailer.jp/fms/dea63a...', '\n\n※外部リンクのお問い合わせフォームに飛びます。\n3〜5日以内に返信いたしますが、返信ない場合はTwitter/InstagramのDMにてお願いします']",17 Nov 2018,BEM8fPiInNc,"16,537 views",236,7,44 Comments
